,freq,OLR,ALB,OLR_TTL,ALB_TTL,TTL_FREQ
CAT1,5.362569398877919,125.00679779052734,0.6414790749549866,124.96502685546875,0.6415045261383057,5.3567556930604936
CAT2,66.40791503262987,195.8610382080078,0.1433981955051422,145.20608520507812,0.3153739869594574,21.048118568761795
CAT3,28.1093232607999,260.6341247558594,0.06889452785253525,235.5994415283203,0.08666962385177612,73.16768921128796
CS,0.1201923076923077,279.73675537109375,0.05653757229447365,,,
ISO_TTL,0.03242637138286563,271.0111083984375,0.0625309869647026,,,
